Color,/wp-content/plugins/wp-muestrario/laminados/Color/dermacolor.jpg
Color,Básicos,/wp-content/plugins/wp-muestrario/laminados/Color/BasicosColor/2152gold.png,2152.gold
Color,Básicos,/wp-content/plugins/wp-muestrario/laminados/Color/BasicosColor/2111blanco.png,2111.blanco
Color,Básicos,/wp-content/plugins/wp-muestrario/laminados/Color/BasicosColor/2137red.png,2137.red
Color,Básicos,/wp-content/plugins/wp-muestrario/laminados/Color/BasicosColor/221cerulean.png,2221.cerulean
Color,Básicos,/wp-content/plugins/wp-muestrario/laminados/Color/BasicosColor/2110ebano.png,2110.ebano
Color,Básicos,/wp-content/plugins/wp-muestrario/laminados/Color/BasicosColor/2256platinum.png,2256.platinum
Color,Básicos,/wp-content/plugins/wp-muestrario/laminados/Color/BasicosColor/2192carbon.png,2192.carbon
Color,Básicos,/wp-content/plugins/wp-muestrario/laminados/Color/BasicosColor/2119silice.png,2119.silice

Color,Calidos,/wp-content/plugins/wp-muestrario/laminados/Color/CalidosColor/2225terracota.png,2225.terracota
Color,Calidos,/wp-content/plugins/wp-muestrario/laminados/Color/CalidosColor/2295orangine.png,2295.orangine
Color,Calidos,/wp-content/plugins/wp-muestrario/laminados/Color/CalidosColor/2273pink.png,2273.pink
Color,Calidos,/wp-content/plugins/wp-muestrario/laminados/Color/CalidosColor/2158burgundi.png,2158.burgundi
Color,Calidos,/wp-content/plugins/wp-muestrario/laminados/Color/CalidosColor/2298mostaza.png,2298.mostaza
Color,Calidos,/wp-content/plugins/wp-muestrario/laminados/Color/CalidosColor/2100antiqueblanco.png,2100.antique blanco
Color,Calidos,/wp-content/plugins/wp-muestrario/laminados/Color/CalidosColor/2111taupe.png,2111.taupe
Color,Calidos,/wp-content/plugins/wp-muestrario/laminados/Color/CalidosColor/2158marron.png,2158.marrón

Color,Fríos,/wp-content/plugins/wp-muestrario/laminados/Color/FriosColor/2180mediterranean.png,2180.mediterranean
Color,Fríos,/wp-content/plugins/wp-muestrario/laminados/Color/FriosColor/2176turquesa.png,2176.turquesa
Color,Fríos,/wp-content/plugins/wp-muestrario/laminados/Color/FriosColor/2221cerulean.png,2221.cerulean
Color,Fríos,/wp-content/plugins/wp-muestrario/laminados/Color/FriosColor/0888lapizlasul.png,0888.lapizlasul
Color,Fríos,/wp-content/plugins/wp-muestrario/laminados/Color/FriosColor/2248oliva.png,2248.oliva
Color,Fríos,/wp-content/plugins/wp-muestrario/laminados/Color/FriosColor/2186neon.png,2186.neon
Color,Fríos,/wp-content/plugins/wp-muestrario/laminados/Color/FriosColor/2252forest.png,2252.forest
Color,Fríos,/wp-content/plugins/wp-muestrario/laminados/Color/FriosColor/2180mediterranean.png,2205.citrus

Texturas,/wp-content/plugins/wp-muestrario/laminados/Texturas/texturas.jpg
Texturas,/wp-content/plugins/wp-muestrario/laminados/Texturas/MAT.png,MAT
Texturas,/wp-content/plugins/wp-muestrario/laminados/Texturas/BRILLO.png,BRILLO
Texturas,/wp-content/plugins/wp-muestrario/laminados/Texturas/CUERO.png,CUERO
Texturas,/wp-content/plugins/wp-muestrario/laminados/Texturas/EXTREM-MATE.png,EXTREM MATE
Texturas,/wp-content/plugins/wp-muestrario/laminados/Texturas/PW.png,PW
Texturas,/wp-content/plugins/wp-muestrario/laminados/Texturas/BR-BRUSHED.png,BR BRUSHED

RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/timber.jpg
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1461Laricerustic.png,1461 Larice rustic  
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1467Roblelienal.png,1467 Roble lienal   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1517spicedchestnut.png,1517.spiced-chestnut   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1469segatomiele.png,1469.segato miele   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1807wengue.png,1807.wengué   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1532countrysideoak.png,1532.country side oak   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1513italianwalnut.png,1513.italian walnut
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1474classiccherry.png,1474.classic cherry   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1532cottageoak.png,1532.cottage oak  
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1522oakwheat.png,1522.oak wheat   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1523honeyoak.png,1523.honey oak   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1524oakganache.png,1524.oak ganache   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1599naturalelm.png,1599.natural elm   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1538oak.png,1538.oak   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1513italianwalnut.png,1531.natural elm nordic

Art Work,/wp-content/plugins/wp-muestrario/laminados/ArtWork/asia.jpg
Art Work,/wp-content/plugins/wp-muestrario/laminados/ArtWork/01serieRicharddifusion.png,01.serie Richard.difusion
Art Work,/wp-content/plugins/wp-muestrario/laminados/ArtWork/02RF.png,02.RF
Art Work,/wp-content/plugins/wp-muestrario/laminados/ArtWork/03RF.png,03 RF
Art Work,/wp-content/plugins/wp-muestrario/laminados/ArtWork/04RF.png,04 RF
Art Work,/wp-content/plugins/wp-muestrario/laminados/ArtWork/2021cristal.png,2021.cristal
Art Work,/wp-content/plugins/wp-muestrario/laminados/ArtWork/2021triaungulatemc.png,2021.triaungulate.mc
Art Work,/wp-content/plugins/wp-muestrario/laminados/ArtWork/2021triangulered.png,2021.triangule.red
Art Work,/wp-content/plugins/wp-muestrario/laminados/ArtWork/2021poligonal.png,2021.poligonal
Art Work,/wp-content/plugins/wp-muestrario/laminados/ArtWork/2021persa.png,2021.persa
Art Work,/wp-content/plugins/wp-muestrario/laminados/ArtWork/2021geometrico.png,2021.geométrico

TekStur,/wp-content/plugins/wp-muestrario/laminados/TekStur/03tksslim.png
TekStur,/wp-content/plugins/wp-muestrario/laminados/TekStur/2111blanco.png,2111.blanco
TekStur,/wp-content/plugins/wp-muestrario/laminados/TekStur/2167latte.png,2167.latte
TekStur,/wp-content/plugins/wp-muestrario/laminados/TekStur/2192carbon.png,2192.carbon
TekStur,/wp-content/plugins/wp-muestrario/laminados/TekStur/1517spicedchestnut.png,1517.spiced-chestnut
TekStur,/wp-content/plugins/wp-muestrario/laminados/TekStur/01tkschocolat.png,01.tks.chocolat
TekStur,/wp-content/plugins/wp-muestrario/laminados/TekStur/02tksvancouver.png,02.tks.vancouver
TekStur,/wp-content/plugins/wp-muestrario/laminados/TekStur/03tksslim.png,03.tks.slim
TekStur,/wp-content/plugins/wp-muestrario/laminados/TekStur/04tkscanvas.png,04.tks.canvas
TekStur,/wp-content/plugins/wp-muestrario/laminados/TekStur/05tkscool.png,05.tks.ool
TekStur,/wp-content/plugins/wp-muestrario/laminados/TekStur/06tksdotting.png,06.tks.dotting
TekStur,/wp-content/plugins/wp-muestrario/laminados/TekStur/07tksclassic.png,07.tks.classic
TekStur,/wp-content/plugins/wp-muestrario/laminados/TekStur/07tksclassic.png,08.tks.wavequake
TekStur,/wp-content/plugins/wp-muestrario/laminados/TekStur/2110ebano.png,2110.ebano

Metálicos,/wp-content/plugins/wp-muestrario/laminados/Metalicos/copper.jpg
Metálicos,/wp-content/plugins/wp-muestrario/laminados/Metalicos/2026dorado.png,2026.dorado
Metálicos,/wp-content/plugins/wp-muestrario/laminados/Metalicos/2025alumirror.png,2025.alu mirror
Metálicos,/wp-content/plugins/wp-muestrario/laminados/Metalicos/2030alubrushed.png,2030.alu brushed
Metálicos,/wp-content/plugins/wp-muestrario/laminados/Metalicos/2020StainSteelhr.png,2020.Stain.Steel.hr
Metálicos,/wp-content/plugins/wp-muestrario/laminados/Metalicos/2035StainSteelbrushed.png,2035.Stain.Steel brushed
Metálicos,/wp-content/plugins/wp-muestrario/laminados/Metalicos/2111cooperbrushed.png,2111.cooper brushed
Metálicos,/wp-content/plugins/wp-muestrario/laminados/Metalicos/2036broncepulido.png,2036.bronce pulido
Metálicos,/wp-content/plugins/wp-muestrario/laminados/Metalicos/2039broncepulido.png,2039.bronce pulido
Metálicos,/wp-content/plugins/wp-muestrario/laminados/Metalicos/2509metaliclinen.png,2509.metalic linen
Metálicos,/wp-content/plugins/wp-muestrario/laminados/Metalicos/2273BSPink.png,2273 BS Pink
Metálicos,/wp-content/plugins/wp-muestrario/laminados/Metalicos/2316BSGolden.png,2316 BS Golden
Metálicos,/wp-content/plugins/wp-muestrario/laminados/Metalicos/2176BSTurquesa.png,2176 BS Turquesa